MonthYear,GPI,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,event_count_22,event_count_23,event_count_24,event_count_25,event_count_26,event_count_27,event_count_28,event_count_30,event_count_31,event_count_32,event_count_33,event_count_34,event_count_35,event_count_36,event_count_37,event_count_38,event_count_39,event_count_40,event_count_41,event_count_42,event_count_43,event_count_44,event_count_45,event_count_46,event_count_50,event_count_51,event_count_52,event_count_53,event_count_54,event_count_55,event_count_56,event_count_57,event_count_60,event_count_61,event_count_62,event_count_63,event_count_64,event_count_70,event_count_71,event_count_72,event_count_73,event_count_74,event_count_75,event_count_80,event_count_81,event_count_82,event_count_83,event_count_84,event_count_85,event_count_86,event_count_87,event_count_90,event_count_91,event_count_92,event_count_93,event_count_100,event_count_101,event_count_102,event_count_103,event_count_104,event_count_105,event_count_106,event_count_110,event_count_111,event_count_112,event_count_113,event_count_114,event_count_115,event_count_116,event_count_120,event_count_121,event_count_122,event_count_123,event_count_124,event_count_125,event_count_127,event_count_128,event_count_129,event_count_130,event_count_131,event_count_133,event_count_134,event_count_137,event_count_138,event_count_139,event_count_140,event_count_141,event_count_142,event_count_143,event_count_144,event_count_145,event_count_150,event_count_151,event_count_152,event_count_153,event_count_154,event_count_160,event_count_161,event_count_162,event_count_163,event_count_164,event_count_166,event_count_170,event_count_171,event_count_172,event_count_173,event_count_174,event_count_175,event_count_180,event_count_181,event_count_182,event_count_183,event_count_185,event_count_186,event_count_190,event_count_191,event_count_192,event_count_193,event_count_194,event_count_195,event_count_202,event_count_203
201402,1.9821666666666664,24,1.0,9.0,2.0,12.0,1.0,0.0,3.0,0.0,0.0,23,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,28.0,0.0,0.0,0.0,56.0,2.0,21,21,0.0,1.0,27.0,1.0,30,2.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
201403,1.985,19,1.0,7.0,12.0,3.0,0.0,0.0,3.0,0.0,0.0,17,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,35.0,4.0,43,43,0.0,0.0,12.0,2.0,17,0.0,2.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,2.0,0.0,18.0,20.0,1.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,20.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
201404,1.98275,32,1.0,3.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,6.0,0.0,11,13,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,41.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
201405,1.9805,16,2.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,15.0,0.0,16,17,0.0,0.0,19.0,0.0,14,0.0,0.0,0.0,0.0,3.0,9.0,5.0,3.0,0.0,0.0,0.0,4.0,10.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
201406,1.97825,34,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,32,4.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,5.0,0.0,22,23,0.0,0.0,13.0,1.0,9,0.0,0.0,0.0,0.0,0.0,38.0,2.0,5.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
201407,1.976,51,0.0,12.0,14.0,8.0,0.0,0.0,4.0,0.0,0.0,36,0.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,6.0,27.0,0.0,0.0,0.0,9.0,0.0,78,77,0.0,0.0,14.0,2.0,26,0.0,0.0,0.0,0.0,0.0,5.0,9.0,8.0,0.0,1.0,0.0,19.0,7.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201408,1.97375,54,0.0,2.0,9.0,9.0,1.0,0.0,2.0,0.0,0.0,31,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,17.0,0.0,47,43,1.0,0.0,8.0,0.0,16,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,2.0,6.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,3.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
201409,1.9715000000000005,7,0.0,5.0,7.0,11.0,5.0,0.0,5.0,0.0,0.0,15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,2.0,30.0,1.0,18,14,12.0,1.0,24.0,8.0,26,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
201410,1.96925,39,0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,7.0,12.0,2.0,0.0,0.0,10.0,0.0,88,76,0.0,0.0,16.0,6.0,9,0.0,0.0,0.0,0.0,0.0,3.0,18.0,2.0,2.0,0.0,0.0,9.0,10.0,0.0,5.0,0.0,8.0,9.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,10.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,3.0,16.0,0.0,0.0,0.0
201411,1.9669999999999999,42,5.0,8.0,12.0,5.0,2.0,2.0,0.0,0.0,0.0,55,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,39.0,0.0,0.0,3.0,8.0,0.0,58.0,0.0,0.0,0.0,101.0,0.0,85,76,0.0,4.0,18.0,6.0,28,0.0,2.0,0.0,0.0,0.0,12.0,47.0,4.0,0.0,0.0,0.0,6.0,8.0,2.0,1.0,0.0,0.0,15.0,0.0,0.0,7.0,7.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,9.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,9.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,19.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0
201412,1.96475,26,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,14.0,0.0,0.0,0.0,16.0,0.0,199,186,0.0,0.0,15.0,9.0,9,0.0,0.0,0.0,0.0,0.0,18.0,9.0,7.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201501,1.9625,18,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,27,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,11.0,0.0,28,32,1.0,0.0,8.0,1.0,16,2.0,0.0,5.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
201502,1.9602500000000005,55,0.0,4.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,46,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,16.0,2.0,0.0,0.0,3.0,1.0,27.0,0.0,0.0,0.0,78.0,0.0,57,57,2.0,0.0,22.0,2.0,29,0.0,0.0,0.0,0.0,0.0,27.0,9.0,16.0,0.0,4.0,0.0,1.0,22.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,11.0,19.0,0.0,2.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,19.0,0.0,1.0,3.0,5.0,1.0,0.0,0.0,2.0,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
201503,1.958,64,0.0,12.0,9.0,3.0,0.0,0.0,11.0,0.0,0.0,47,0.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,7.0,24.0,0.0,5.0,0.0,1.0,15.0,0.0,0.0,0.0,74.0,8.0,40,37,0.0,1.0,23.0,2.0,27,0.0,2.0,0.0,0.0,0.0,6.0,12.0,2.0,4.0,0.0,0.0,11.0,14.0,2.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,5.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
201504,1.9574166666666668,75,0.0,13.0,41.0,33.0,4.0,5.0,10.0,0.0,0.0,86,0.0,0.0,0.0,2.0,0.0,3.0,8.0,0.0,12.0,4.0,0.0,5.0,6.0,7.0,68.0,0.0,0.0,0.0,52.0,6.0,84,79,1.0,0.0,4.0,16.0,74,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,11.0,10.0,6.0,0.0,0.0,2.0,16.0,0.0,0.0,1.0,22.0,0.0,0.0,3.0,41.0,1.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,6.0,0.0,31.0,1.0,0.0,32.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,12.0,1.0,40.0,4.0,0.0,8.0,0.0,4.0,0.0,0.0,6.0,15.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
201505,1.9568333333333332,76,1.0,3.0,39.0,3.0,2.0,2.0,8.0,0.0,1.0,32,1.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,11.0,0.0,0.0,0.0,29.0,0.0,48,35,2.0,0.0,6.0,18.0,83,0.0,0.0,0.0,0.0,0.0,21.0,4.0,3.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,17.0,8.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,12.0,13.0,0.0,5.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,3.0,12.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
201506,1.95625,39,2.0,8.0,8.0,5.0,0.0,0.0,1.0,2.0,0.0,26,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,172.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,33.0,1.0,48,37,1.0,4.0,12.0,6.0,34,0.0,0.0,2.0,1.0,0.0,7.0,5.0,3.0,0.0,0.0,0.0,8.0,8.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,9.0,0.0,0.0,1.0,6.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201507,1.9556666666666669,49,2.0,4.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,37,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0,0.0,16.0,0.0,68,51,0.0,0.0,9.0,2.0,28,0.0,0.0,0.0,0.0,0.0,13.0,11.0,10.0,0.0,0.0,0.0,6.0,4.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,5.0,4.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,8.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,23.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,22.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0
201508,1.9550833333333333,103,10.0,10.0,15.0,12.0,1.0,4.0,3.0,0.0,0.0,89,0.0,1.0,12.0,9.0,1.0,5.0,0.0,0.0,16.0,2.0,1.0,2.0,0.0,1.0,28.0,1.0,0.0,0.0,63.0,2.0,80,64,0.0,0.0,24.0,34.0,42,0.0,0.0,0.0,0.0,0.0,11.0,13.0,3.0,0.0,0.0,0.0,9.0,14.0,0.0,4.0,0.0,0.0,12.0,5.0,0.0,5.0,11.0,3.0,0.0,0.0,25.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,15.0,29.0,0.0,5.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,0.0,0.0,4.0,2.0,7.0,0.0,0.0,2.0,9.0,0.0,5.0,7.0,1.0,0.0,0.0,0.0
201509,1.9545,59,0.0,3.0,19.0,2.0,0.0,0.0,6.0,1.0,0.0,59,0.0,0.0,0.0,7.0,0.0,2.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,67.0,1.0,0.0,0.0,60.0,0.0,154,148,44.0,0.0,27.0,6.0,83,0.0,0.0,1.0,0.0,0.0,4.0,13.0,8.0,0.0,2.0,0.0,7.0,1.0,2.0,3.0,0.0,0.0,8.0,2.0,0.0,3.0,5.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,15.0,0.0,6.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,7.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
201510,1.9539166666666667,75,0.0,11.0,9.0,4.0,0.0,1.0,8.0,2.0,0.0,62,0.0,7.0,0.0,7.0,0.0,3.0,0.0,0.0,20.0,2.0,2.0,3.0,0.0,1.0,43.0,0.0,0.0,0.0,45.0,0.0,59,52,0.0,1.0,8.0,1.0,62,0.0,1.0,2.0,0.0,0.0,8.0,5.0,1.0,0.0,0.0,0.0,10.0,62.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,9.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,6.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
201511,1.9533333333333331,29,3.0,8.0,8.0,2.0,0.0,3.0,1.0,0.0,0.0,27,0.0,1.0,1.0,0.0,6.0,2.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,119.0,0.0,129,129,2.0,0.0,7.0,2.0,26,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,13.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,4.0,24.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,4.0,11.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
201512,1.95275,35,0.0,1.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0,23,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,6.0,3.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,95.0,2.0,169,160,1.0,1.0,12.0,7.0,43,2.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0
201601,1.9521666666666664,39,4.0,16.0,9.0,3.0,1.0,0.0,4.0,0.0,1.0,53,2.0,1.0,15.0,4.0,0.0,3.0,1.0,0.0,14.0,0.0,1.0,2.0,0.0,0.0,24.0,2.0,0.0,0.0,104.0,0.0,47,44,0.0,4.0,11.0,3.0,46,0.0,0.0,0.0,0.0,0.0,16.0,5.0,0.0,0.0,0.0,0.0,9.0,6.0,2.0,0.0,0.0,0.0,14.0,2.0,0.0,2.0,10.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,21.0,8.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,29.0,1.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,43.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
